epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.675807,1.78437,0,1,2.10948,0,0,0
2,1.58024,1.77104,0,1,2.06774,1.089e-05,1.089e-05,1.089e-05
3,2.29776,1.77215,0,1,2.01065,2.13401e-05,2.13401e-05,2.13401e-05
4,3.0235,1.72495,0,1,1.93877,3.13502e-05,3.13502e-05,3.13502e-05
5,3.72335,1.72323,0,1,1.86293,4.09204e-05,4.09204e-05,4.09204e-05
6,4.43919,1.65421,0,1,1.78563,5.00506e-05,5.00506e-05,5.00506e-05
7,5.63882,1.64665,0,1,1.68135,5.87408e-05,5.87408e-05,5.87408e-05
8,6.36698,1.56121,0,1,1.58135,6.69911e-05,6.69911e-05,6.69911e-05
9,7.10865,1.57115,0,1,1.58135,7.48014e-05,7.48014e-05,7.48014e-05
10,7.90756,1.43798,0.8,1,1.44697,8.21718e-05,8.21718e-05,8.21718e-05
11,8.69923,1.41046,0.8,1,1.44697,8.91022e-05,8.91022e-05,8.91022e-05
12,9.44063,1.38631,0.8,1,1.29824,9.55927e-05,9.55927e-05,9.55927e-05
13,10.1009,1.22011,0.8,1,1.29824,0.000101643,0.000101643,0.000101643
14,10.8157,1.26484,0.8,1,1.14509,0.000107254,0.000107254,0.000107254
15,11.4666,1.06292,0.8,1,1.14509,0.000112424,0.000112424,0.000112424
16,12.1452,1.22495,1,1,1.00309,0.000117155,0.000117155,0.000117155
17,12.8011,0.97782,1,1,1.00309,0.000121446,0.000121446,0.000121446
18,13.48,1.04335,1,1,0.84761,0.000125296,0.000125296,0.000125296
19,14.1476,0.94434,1,1,0.84761,0.000128707,0.000128707,0.000128707
20,14.8196,0.90673,1,1,0.69664,0.000131678,0.000131678,0.000131678
21,15.468,0.79378,1,1,0.69664,0.000134209,0.000134209,0.000134209
22,16.1504,0.80942,1,1,0.57433,0.0001363,0.0001363,0.0001363
23,16.8028,0.67731,1,1,0.57433,0.000137951,0.000137951,0.000137951
24,17.4661,0.67975,1,1,0.57433,0.000139162,0.000139162,0.000139162
25,18.1786,0.68573,1,1,0.45778,0.000139933,0.000139933,0.000139933
26,18.8215,0.56487,1,1,0.45778,0.000140264,0.000140264,0.000140264
27,19.5137,0.55093,1,1,0.45778,0.000140155,0.000140155,0.000140155
28,20.1947,0.6237,1,1,0.38409,0.000139606,0.000139606,0.000139606
29,20.8646,0.61787,1,1,0.38409,0.000138617,0.000138617,0.000138617
30,21.5586,0.49572,1,1,0.38409,0.000137189,0.000137189,0.000137189
31,22.2539,0.49381,1,1,0.32044,0.00013532,0.00013532,0.00013532
32,22.9112,0.42872,1,1,0.32044,0.000133011,0.000133011,0.000133011
33,23.5717,0.36605,1,1,0.32044,0.000130263,0.000130263,0.000130263
34,24.2577,0.44664,1,1,0.26657,0.000127074,0.000127074,0.000127074
35,24.9332,0.36515,1,1,0.26657,0.000123445,0.000123445,0.000123445
36,25.5929,0.4177,1,1,0.26657,0.000119377,0.000119377,0.000119377
37,26.2605,0.36198,1,1,0.26657,0.000114869,0.000114869,0.000114869
38,26.9384,0.44339,1,1,0.23375,0.00010992,0.00010992,0.00010992
39,27.5896,0.2791,1,1,0.23375,0.000104532,0.000104532,0.000104532
40,28.2867,0.40748,1,1,0.23375,9.87035e-05,9.87035e-05,9.87035e-05
41,28.9515,0.33289,1,1,0.23375,9.24352e-05,9.24352e-05,9.24352e-05
42,29.6575,0.38262,1,1,0.20109,8.5727e-05,8.5727e-05,8.5727e-05
43,30.3265,0.3354,1,1,0.20109,7.85788e-05,7.85788e-05,7.85788e-05
44,31.0065,0.31971,1,1,0.20109,7.09907e-05,7.09907e-05,7.09907e-05
45,31.6718,0.30877,1,1,0.20109,6.29626e-05,6.29626e-05,6.29626e-05
46,32.352,0.29054,1,1,0.19072,5.44945e-05,5.44945e-05,5.44945e-05
47,33.0064,0.27105,1,1,0.19072,4.55866e-05,4.55866e-05,4.55866e-05
48,33.6636,0.25979,1,1,0.19072,3.62386e-05,3.62386e-05,3.62386e-05
49,34.7617,0.30154,1,1,0.19072,2.64507e-05,2.64507e-05,2.64507e-05
50,35.4313,0.31411,1,1,0.18784,1.62228e-05,1.62228e-05,1.62228e-05
